Footfall,ID
1025.10412598,3725712
1079.83642578,3725812
1072.8215332,3725912
1002.65228271,3726012
997.026672363,3726112
1022.40209961,3726212
1013.16442871,3726312
998.92767334,3726412
1009.9029541,3726512
1035.96459961,3726612
1092.39758301,3726712
964.232666016,3726812
879.20135498,3726912
816.302856445,3727012
793.074584961,3727112
871.773742676,3727212
1053.86108398,3727312
1035.13793945,3727412
1014.04425049,3727512
1078.10046387,3727612
1108.27026367,3727712
971.139648438,3727812
943.982177734,3727912
911.518249512,3728012
950.215576172,3728112
990.830566406,3728212
835.626586914,3728312
769.026000977,3728412
755.502868652,3728512
781.046508789,3728612
758.561096191,3728712
709.500366211,3728812
787.893737793,3728912
872.203430176,3729012
877.860473633,3729112
748.028320312,3729212
740.870910645,3729312
778.372314453,3729412
835.817626953,3729512
781.262939453,3729612
753.44152832,3729712
993.240356445,3729812
1006.6192627,3729912
995.558776855,3730012
1018.4899292,3730112
1063.77770996,3730212
1037.1920166,3730312
1082.53161621,3730412
1001.81939697,3730512
988.306884766,3730612
1072.18457031,3730712
1137.48388672,3730812
1093.71813965,3730912
1056.74206543,3731012
1045.04858398,3731112
1006.54528809,3731212
1018.25250244,3731312
985.328491211,3731412
975.760070801,3731512
951.566589355,3731612
911.218200684,3731712
985.346984863,3731812
994.78729248,3731912
932.542419434,3732012
916.654296875,3732112
1032.4654541,3732212
1067.3704834,3732312
1059.44714355,3732412
1048.30407715,3732512
1071.75,3732612
1056.78796387,3732712
1046.94360352,3732812
933.904602051,3732912
961.2109375,3733012
1060.44787598,3733112
1064.60009766,3733212
1040.08666992,3733312
1053.33447266,3733412
1068.06018066,3733512
1012.98797607,3733612
1071.03808594,3733712
1066.61535645,3733812
1073.64025879,3733912
1111.65783691,3734012
1001.27093506,3734112
1106.26953125,3734212
1093.41015625,3734312
1101.55395508,3734412
1105.54321289,3734512
1079.71191406,3734612
1005.3260498,3734712
1061.1697998,3734812
1131.66369629,3734912
1063.17431641,3735012
1101.9140625,3735112
980.320922852,3735212
961.920288086,3735312
1110.26806641,3735412
1169.32678223,3735512
1126.05969238,3735612
1052.03723145,3735712
1059.96838379,3735812
1002.53192139,3735912
1095.4453125,3736012
1047.76647949,3736112
1007.21191406,3736212
1186.3404541,3736312
1126.75476074,3736412
1144.32409668,3736512
1156.45581055,3736612
1113.58178711,3736712
1168.07019043,3736812
1182.52038574,3736912
1137.26721191,3737012
1251.28308105,3737112
1230.3807373,3737212
1226.25012207,3737312
1292.21960449,3737412
1306.2911377,3737512
1325.1496582,3737612
1275.72473145,3737712
1267.19775391,3737812
1240.01403809,3737912
1199.05493164,3738012
1148.23242188,3738112
1180.74194336,3738212
1332.26025391,3738312
1264.99682617,3738412
1276.62329102,3738512
1285.49890137,3738612
1295.05566406,3738712
1142.81054688,3738812
1242.63293457,3738912
1229.22607422,3739012
1188.7635498,3739112
1185.75305176,3739212
1309.2833252,3739312
1368.89355469,3739412
1290.94580078,3739512
1279.83459473,3739612
1285.82824707,3739712
1320.85339355,3739812
1295.73242188,3739912
1369.99279785,3740012
1331.54211426,3740112
1467.51525879,3740212
1383.61755371,3740312
1306.22094727,3740412
1330.19616699,3740512
1318.96240234,3740612
1289.17944336,3740712
1278.71386719,3740812
1244.60522461,3740912
1341.52624512,3741012
1245.89233398,3741112
1349.38781738,3741212
1381.97253418,3741312
1418.85119629,3741412
1443.79931641,3741512
1422.28662109,3741612
1354.85095215,3741712
1458.78515625,3741812
1379.73608398,3741912
1316.52404785,3742012
1405.50231934,3742112
1418.29602051,3742212
1410.84313965,3742312
1428.20129395,3742412
1338.38952637,3742512
1394.92211914,3742612
1532.46398926,3742712
1442.50683594,3742812
1418.28063965,3742912
1430.38012695,3743012
1378.39770508,3743112
1340.58679199,3743212
1356.12805176,3743312
1438.72265625,3743412
1499.69042969,3743512
1392.35974121,3743612
1391.02563477,3743712
1476.74768066,3743812
1612.7845459,3743912
1558.07397461,3744012
1597.46386719,3744112
1511.2364502,3744212
1520.32629395,3744312
1498.17932129,3744412
1497.71716309,3744512
1493.23010254,3744612
1490.14111328,3744712
1454.82824707,3744812
1423.48986816,3744912
1465.16418457,3745012
1413.23449707,3745112
1469.80236816,3745212
1449.86376953,3745312
1480.18041992,3745412
1482.61071777,3745512
1420.7590332,3745612
1416.97619629,3745712
1404.23974609,3745812
1476.14282227,3745912
1536.63256836,3746012
1599.98474121,3746112
1566.90808105,3746212
1565.33825684,3746312
1545.40356445,3746412
1435.30639648,3746512
1473.47961426,3746612
1464.68591309,3746712
1526.42321777,3746812
1634.76660156,3746912
1497.28466797,3747012
1539.40307617,3747112
1467.21691895,3747212
1542.78063965,3747312
1471.38378906,3747412
1502.73864746,3747512
1463.90222168,3747612
1496.60571289,3747712
1441.85620117,3747812
1484.05407715,3747912
1641.91101074,3748012
1586.8560791,3748112
1578.34765625,3748212
1539.05383301,3748312
1517.0703125,3748412
1562.09008789,3748512
1668.38256836,3748612
1644.72814941,3748712
1502.64428711,3748812
1500.71862793,3748912
1505.00354004,3749012
1449.69165039,3749112
1473.42956543,3749212
1483.43078613,3749312
1386.50427246,3749412
1518.5904541,3749512
1482.77392578,3749612
1561.82788086,3749712
1462.25317383,3749812
1376.72949219,3749912
1436.30371094,3750012
1482.59655762,3750112
1437.88842773,3750212
1490.64770508,3750312
1398.90893555,3750412
1421.53320312,3750512
1451.48681641,3750612
1453.4473877,3750712
1517.42260742,3750812
1477.74316406,3750912
1359.8416748,3751012
1306.73449707,3751112
1336.1854248,3751212
1362.49707031,3751312
1412.18310547,3751412
1432.49914551,3751512
1354.85266113,3751612
1330.32189941,3751712
1294.15930176,3751812
1354.20300293,3751912
1336.57873535,3752012
1317.77819824,3752112
1309.07775879,3752212
1322.65039062,3752312
1366.57434082,3752412
1418.2232666,3752512
1333.01208496,3752612
1366.79577637,3752712
1331.69787598,3752812
1360.78967285,3752912
1396.88378906,3753012
1380.12341309,3753112
1331.26245117,3753212
1331.96289062,3753312
1333.76342773,3753412
1268.0456543,3753512
1304.88806152,3753612
1277.30102539,3753712
1282.49682617,3753812
1193.65380859,3753912
1166.09729004,3754012
1250.43554688,3754112
