Footfall,ID
921.227233887,3725712
1029.05664062,3725812
987.103942871,3725912
903.50793457,3726012
901.247131348,3726112
926.619445801,3726212
902.00201416,3726312
944.928100586,3726412
888.747802734,3726512
1014.96417236,3726612
994.773071289,3726712
838.81628418,3726812
734.129272461,3726912
753.960998535,3727012
750.635620117,3727112
862.993225098,3727212
996.629821777,3727312
920.825073242,3727412
912.393127441,3727512
948.668395996,3727612
989.32019043,3727712
901.030761719,3727812
854.763000488,3727912
882.324768066,3728012
926.623718262,3728112
948.277832031,3728212
816.675109863,3728312
786.190124512,3728412
829.976013184,3728512
797.491516113,3728612
803.164306641,3728712
665.765136719,3728812
803.022888184,3728912
833.810852051,3729012
810.416625977,3729112
718.204040527,3729212
735.600463867,3729312
810.11932373,3729412
812.68963623,3729512
748.946289062,3729612
729.618347168,3729712
973.397399902,3729812
962.036071777,3729912
987.67199707,3730012
962.688476562,3730112
1026.62780762,3730212
1026.59655762,3730312
1054.8605957,3730412
947.042175293,3730512
973.022338867,3730612
1051.60803223,3730712
1074.46496582,3730812
1100.70739746,3730912
1058.4543457,3731012
991.918151855,3731112
963.217285156,3731212
1085.30773926,3731312
1064.59667969,3731412
1017.9586792,3731512
943.375732422,3731612
935.796813965,3731712
971.375793457,3731812
985.725891113,3731912
901.721130371,3732012
886.060119629,3732112
1116.70007324,3732212
1023.68823242,3732312
1110.859375,3732412
1052.92956543,3732512
1049.52307129,3732612
992.567932129,3732712
971.240112305,3732812
1011.67218018,3732912
1009.86688232,3733012
1078.60083008,3733112
1095.25634766,3733212
1044.57666016,3733312
1017.5793457,3733412
1098.42504883,3733512
1076.95812988,3733612
990.868041992,3733712
994.928405762,3733812
1059.62646484,3733912
1077.11169434,3734012
1061.41149902,3734112
1058.51879883,3734212
1094.72692871,3734312
1084.0760498,3734412
1072.59301758,3734512
1012.76531982,3734612
1031.72021484,3734712
1063.41625977,3734812
1197.75476074,3734912
1104.48999023,3735012
1086.09887695,3735112
1033.80786133,3735212
992.048339844,3735312
1110.70751953,3735412
1140.52392578,3735512
1095.45483398,3735612
1162.56640625,3735712
1127.85266113,3735812
1062.45471191,3735912
1060.57824707,3736012
1115.64587402,3736112
1052.93896484,3736212
1152.34692383,3736312
1171.62597656,3736412
1187.91430664,3736512
1177.77539062,3736612
1143.76037598,3736712
1149.73535156,3736812
1206.53027344,3736912
1174.5345459,3737012
1231.12268066,3737112
1232.53063965,3737212
1202.01135254,3737312
1148.54211426,3737412
1266.6072998,3737512
1270.32128906,3737612
1269.61462402,3737712
1220.56445312,3737812
1237.2388916,3737912
1228.43884277,3738012
1182.6730957,3738112
1195.06884766,3738212
1339.95178223,3738312
1304.76818848,3738412
1289.94702148,3738512
1225.71496582,3738612
1237.65087891,3738712
1195.42382812,3738812
1245.54431152,3738912
1225.23974609,3739012
1146.42028809,3739112
1159.18273926,3739212
1331.6854248,3739312
